TIME,print_left,pressure_right,force_left,force_right,Thermocouple_WS,heat flowsensor,way_left,way_right
2022-06-28 10:10:15,0.016450884113023947,0.059784755781893496,6.734115123748779,24.472692489624023,215.4681854248047,637.6483154296875,26.965621948242188,22.32429313659668
2022-06-28 10:10:16,0.016763219337797196,0.10282325162052329,6.861968517303467,42.09035873413086,215.43780517578125,1135.626708984375,23.668161392211914,19.16217803955078
2022-06-28 10:10:17,0.017218463583805195,0.22221670885006944,7.04832124710083,90.96367645263672,215.40966796875,2449.322998046875,20.378273010253906,17.099266052246094
2022-06-28 10:10:18,0.01729945025497395,0.3048709757680844,7.081472873687744,124.79792785644531,215.38189697265625,3241.04052734375,17.064682006835938,16.388263702392578
2022-06-28 10:10:19,0.017763210891766638,0.3270334319351878,7.2713117599487305,133.87005615234375,215.35577392578125,3253.413818359375,13.754756927490234,16.306838989257812
2022-06-28 10:10:20,0.06465358256733048,0.32937678482996885,26.465730667114258,134.8292999267578,215.32870483398438,3010.918212890625,10.611068725585938,16.332902908325195
2022-06-28 10:10:21,0.19101298849855988,0.3346385094973627,78.19053649902344,136.98316955566406,215.3031463623047,2813.572998046875,8.57631778717041,16.342971801757812
2022-06-28 10:10:22,0.2769722347537819,0.3387273089728821,113.37767028808594,138.6569061279297,215.28497314453125,2682.7333984375,7.881768226623535,16.3418025970459
2022-06-28 10:10:23,0.2931251919634135,0.33398849139859244,119.98983001708984,136.7170867919922,215.26670837402344,2579.564453125,7.805180072784424,16.341341018676758
2022-06-28 10:10:24,0.23097901842717272,0.2645309748235344,94.55049896240234,108.28488159179688,215.2490997314453,2462.769287109375,7.844557285308838,16.358184814453125
2022-06-28 10:10:25,0.13308812113795343,0.14528167302995962,54.479183197021484,59.47057342529297,215.23391723632812,2301.542236328125,7.8819122314453125,16.39122200012207
2022-06-28 10:10:26,0.12045230868092492,0.12308396312866006,49.30675506591797,50.38401412963867,215.21424865722656,2216.10791015625,7.888707637786865,16.408479690551758
2022-06-28 10:10:27,0.14996146412991726,0.15667298114302275,61.38623046875,64.1335678100586,215.1916961669922,2196.21630859375,7.881540775299072,16.409482955932617
2022-06-28 10:10:28,0.16599849312030493,0.17642219200020615,67.95093536376953,72.21784210205078,215.16635131835938,2170.629638671875,7.8775105476379395,16.407394409179688
2022-06-28 10:10:29,0.1684935405129037,0.17932680894551956,68.97227478027344,73.4068374633789,215.1431121826172,2133.38671875,7.876643657684326,16.40667152404785
2022-06-28 10:10:30,0.16840318359861198,0.1784393616530277,68.93528747558594,73.04356384277344,215.12786865234375,2097.32666015625,7.8762006759643555,16.406702041625977
2022-06-28 10:10:31,0.16904319310353433,0.1782661775673019,69.19727325439453,72.97267150878906,215.11373901367188,2066.116943359375,7.87619686126709,16.40670394897461
2022-06-28 10:10:32,0.1699340138699302,0.17849400820267775,69.56192779541016,73.06593322753906,215.09918212890625,2037.115966796875,7.8766303062438965,16.406579971313477
2022-06-28 10:10:33,0.17015397927885573,0.17840286849333645,69.65196990966797,73.02862548828125,215.08935546875,2008.5009765625,7.877492427825928,16.406314849853516
2022-06-28 10:10:34,0.16892730216024515,0.17737004497735545,69.14983367919922,72.60584259033203,215.07568359375,1981.040771484375,7.8789591789245605,16.40605354309082
2022-06-28 10:10:35,0.16646608269657368,0.17523964961200866,68.14234161376953,71.73377227783203,215.06028747558594,1954.2882080078125,7.880621433258057,16.405759811401367
2022-06-28 10:10:36,0.16404691050984982,0.17283313261191935,67.15206146240234,70.74867248535156,215.0477752685547,1929.4610595703125,7.882089138031006,16.40545654296875
2022-06-28 10:10:37,0.1616476250449802,0.17015923518847417,66.169921875,69.65412139892578,215.02940368652344,1907.207763671875,7.883489608764648,16.405500411987305
2022-06-28 10:10:38,0.15965116218501715,0.1679925516811872,65.35267639160156,68.76719665527344,215.0102996826172,1886.0411376953125,7.884775161743164,16.405906677246094
2022-06-28 10:10:39,0.15722889609404983,0.16576669259574922,64.36112976074219,67.85604858398438,214.9971923828125,1866.0692138671875,7.886421203613281,16.406679153442383
2022-06-28 10:10:40,0.1548706141793951,0.16350396759107255,63.395774841308594,66.9298095703125,214.9823760986328,1847.921142578125,7.888213634490967,16.407649993896484
2022-06-28 10:10:41,0.15220007159187662,0.16074392543622137,62.30259704589844,65.79999542236328,214.9722900390625,1829.478271484375,7.889793395996094,16.408203125
2022-06-28 10:10:42,0.1491167909954905,0.1574864915792862,61.04046630859375,64.4665756225586,214.97189331054688,1809.35888671875,7.89127254486084,16.408212661743164
2022-06-28 10:10:43,0.14635390654909033,0.15452516858782334,59.909488677978516,63.25436782836914,214.964111328125,1790.140380859375,7.892958641052246,16.407901763916016
2022-06-28 10:10:44,0.14367915177868612,0.15193552414108108,58.8145866394043,62.194305419921875,214.9431610107422,1773.2481689453125,7.895293712615967,16.408035278320312
2022-06-28 10:10:45,0.14123110936501554,0.14958205082458792,57.8124885559082,61.230918884277344,214.91964721679688,1757.4324951171875,7.897964954376221,16.408681869506836
2022-06-28 10:10:46,0.138712550163964,0.1470876837181632,56.781524658203125,60.20985794067383,214.90452575683594,1741.947998046875,7.900638103485107,16.409528732299805
2022-06-28 10:10:47,0.13650567385847776,0.14474595232741339,55.87814712524414,59.251277923583984,214.8928985595703,1727.73974609375,7.90296745300293,16.410459518432617
2022-06-28 10:10:48,0.1346852373757895,0.1427033418354812,55.132957458496094,58.41514205932617,214.8783416748047,1716.75048828125,7.905048370361328,16.41119384765625
